industry,country,date,keyword,cpc_usd,cpc_euro,searches,exchange_rate,final_cpc_usd,sea_expend_per_cap_usd,unemployment_rate,broadb_subscr_per_100_inhab,date_new,today,price_effect,quantity_effect,half_year,id,industry_date_country_id,price_effect_new,quantity_effect_new,retail,structural_break,country_1,country_2,country_3,country_4,country_5,country_6,apr,industry_new,industry_new_1,industry_new_2,industry_new_3,industry_new_4,industry_new_5,industry_new_6,industry_new_7,industry_new_8,industry_new_9,industry_new_10,industry_new_11,industry_new_12,industry_new_13,industry_new_14,industry_new_15,mean_searches,mean_searches_tenth,industry_time,country_time,mean_industry,mean_country
health,DEU,04/09,diet,1,,74000,,1,31.46,7.742,30.21,18016,19303,0.645779,0.354221,1,57,337,0.645779,0.354221,1,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50580,5.058,57,1,1.231,2.066533
health,DEU,04/09,medicine,0.62,,33100,,0.62,31.46,7.742,30.21,18016,19303,0.645779,0.354221,1,57,337,,,1,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50580,5.058,57,1,1.231,2.066533
health,DEU,04/09,migraine,5.65,,33100,,5.65,31.46,7.742,30.21,18016,19303,0.645779,0.354221,1,57,337,,,1,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50580,5.058,57,1,1.231,2.066533
health,DEU,04/09,online pharmacy,1.44,,90500,,1.44,31.46,7.742,30.21,18016,19303,0.645779,0.354221,1,57,337,,,1,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50580,5.058,57,1,1.231,2.066533
health,DEU,04/09,contraception,1.01,,22200,,1.01,31.46,7.742,30.21,18016,19303,0.645779,0.354221,1,57,337,,,1,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50580,5.058,57,1,1.231,2.066533
health,ESP,04/09,diet,0.41,,74000,,0.41,17.36,18,21.27,18016,19303,0.5014971,0.4985029,1,57,345,0.501497,0.498503,1,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29820,2.982,57,9,1.231,1.057333
health,ESP,04/09,online pharmacy,0.23,,40500,,0.23,17.36,18,21.27,18016,19303,0.5014971,0.4985029,1,57,345,,,1,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29820,2.982,57,9,1.231,1.057333
health,ESP,04/09,medicine,0.26,,9900,,0.26,17.36,18,21.27,18016,19303,0.5014971,0.4985029,1,57,345,,,1,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29820,2.982,57,9,1.231,1.057333
health,ESP,04/09,contraception,0.17,,18100,,0.17,17.36,18,21.27,18016,19303,0.5014971,0.4985029,1,57,345,,,1,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29820,2.982,57,9,1.231,1.057333
health,ESP,04/09,migraine,0.45,,6600,,0.45,17.36,18,21.27,18016,19303,0.5014971,0.4985029,1,57,345,,,1,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29820,2.982,57,9,1.231,1.057333
health,FRA,04/09,contraception,1.29,,27100,,1.29,17.32,9.517,31.79,18016,19303,0.5009204,0.4990796,1,57,353,0.50092,0.49908,1,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36900,3.69,57,17,1.231,1.361333
health,FRA,04/09,migraine,2.42,,14800,,2.42,17.32,9.517,31.79,18016,19303,0.5009204,0.4990796,1,57,353,,,1,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36900,3.69,57,17,1.231,1.361333
health,FRA,04/09,medicine,0.49,,8100,,0.49,17.32,9.517,31.79,18016,19303,0.5009204,0.4990796,1,57,353,,,1,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36900,3.69,57,17,1.231,1.361333
health,FRA,04/09,online pharmacy,0.39,,60500,,0.39,17.32,9.517,31.79,18016,19303,0.5009204,0.4990796,1,57,353,,,1,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36900,3.69,57,17,1.231,1.361333
health,FRA,04/09,diet,0.79,,74000,,0.79,17.32,9.517,31.79,18016,19303,0.5009204,0.4990796,1,57,353,,,1,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36900,3.69,57,17,1.231,1.361333
health,ITA,04/09,diet,0.61,,40500,,0.61,15.03,7.808,20.05,18016,19303,0.4655218,0.5344782,1,57,361,0.465522,0.534478,1,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20880,2.088,57,25,1.231,1.201467
health,ITA,04/09,online pharmacy,1.5,,12100,,1.5,15.03,7.808,20.05,18016,19303,0.4655218,0.5344782,1,57,361,,,1,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20880,2.088,57,25,1.231,1.201467
health,ITA,04/09,migraine,0.26,,9900,,0.26,15.03,7.808,20.05,18016,19303,0.4655218,0.5344782,1,57,361,,,1,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20880,2.088,57,25,1.231,1.201467
health,ITA,04/09,medicine,0.35,,27100,,0.35,15.03,7.808,20.05,18016,19303,0.4655218,0.5344782,1,57,361,,,1,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20880,2.088,57,25,1.231,1.201467
